BirdID,BirthYear,SexEstimate,RightTarsus,BodyMass,WingLength,HeadBill,Observer,CatchTime,Ageclass,Island,Lifespan,ReproductiveOutput,Status,Moult,BirthDate,BirthFieldPeriodID,LastSeenYea,CatchID,FieldPeriodID,OccasionDate,OccasionID,dtemp,dtmin,dtmax,drainfall,OccasionYear,ageatsamp,fys,SurvStatus,founderyear,fYear,Sex
1575,2000,0,24.8,14,64,36.1,DR,07:00:00,OFL,CN,1,NA,OFL,NA,2000-04-03,39,2001,1,39,2000-08-01,1018,26.731800766283527,22.9,31.8,NA,2000,0.3,1,1,1990,10,Female
1576,2000,0,23.8,14.7,67,35.3,DR,15:45:00,OFL,CN,10,1,OFL,NA,2000-04-03,39,2010,3,39,2000-08-01,1018,26.731800766283527,22.9,31.8,NA,2000,0.3,1,1,1990,10,Female
1186,1996,0,24.8,15.1,66,35.8,DR,08:05:00,A,CN,6,8,BrF,NA,1996-07-16,21,2002,5,39,2000-08-01,1018,26.37159090909091,21.8,31.9,105,2000,4,1,1,1990,6,Female
848,1994,0,24.1,13.6,70,37.2,DR,16:00:00,A,CN,6,2,U,NA,1994-10-22,17,2000,8,39,2000-08-01,1018,27.113118279569893,23.2,32.6,175.05,2000,5.8,1,1,1990,4,Female
1577,2000,1,25.4,16.6,70,36.9,DR,08:30:00,OFL,CN,13,10,OFL,NA,2000-04-04,39,2013,9,39,2000-08-02,1019,26.731800766283527,22.9,31.8,NA,2000,0.3,1,1,1990,10,Male
1370,1997,1,26.3,16.4,72,37.6,DR,08:00:00,A,CN,7,4,ABX,NA,1997-07-23,22,2004,11,39,2000-08-02,1019,27.26143817204301,22,31.8,506.9500000000001,2000,3,1,1,1990,7,Male
1384,1998,0,22.9,14.6,69,36.8,DR,08:00:00,A,CN,11,4,BrF,NA,1998-08-03,25,2009,13,39,2000-08-02,1019,27.115842490842493,22.4,32.3,85.65,2000,2,1,1,1990,8,Female
1552,1999,0,24.2,15.2,67,36.2,DR,09:15:00,A,CN,3,3,SEEN1,NA,1999-10-02,28,2002,15,39,2000-08-02,1019,26.967424242424244,23.1,32.1,248.4,2000,0.8,1,1,1990,9,Female
1504,1999,1,27.4,15.7,67,38,DR,09:45:00,SA,CN,11,13,FLOAT,NA,1999-06-16,28,2010,17,39,2000-08-02,1019,26.556324110671937,22.1,31,17.5,2000,1.1,1,1,1990,9,Male
1578,2000,1,24.9,14.7,67,36.5,DR,09:00:00,FL,CN,2,2,FL,NA,2000-06-04,39,2002,19,39,2000-08-03,1020,26.172015820046965,22.6,30.5,NA,2000,0.2,1,1,1990,10,Male
1579,2000,1,25.1,15.5,69,37.4,DR,10:00:00,FL,CN,8,12,FL,NA,2000-06-04,39,2008,21,39,2000-08-03,1020,26.172015820046965,22.6,30.5,NA,2000,0.2,1,1,1990,10,Male
