BirdID,RightTarsus,BodyMass,WingLength,HeadBill,BirthYear,SexEstimate,Observer,CatchTime,Ageclass,Island,Lifespan,ReproductiveOutput,Status,Moult,BirthDate,BirthFieldPeriodID,LastSeenYea,CatchID,FieldPeriodID,OccasionDate,OccasionID,dtemp,dtmin,dtmax,drainfall,OccasionYear,ageatsamp,fys,SurvStatus
308,24.8,14.733333333333334,67.66666666666667,36.4,1990,0,JK,NA,A,CN,11,14,BrF,NA,1990-08-10,12,2001,1976,16,1993-08-09,321,27.19956896551724,22.8,32.4,NA,1993,3,1,1
436,NA,15.925,69,NA,1992,1,JK,NA,A,CN,8,4,AB,NA,1992-12-10,14,2000,1775,17,1994-07-08,332,NA,NA,NA,NA,1994,1.6,1,1
439,NA,15.9,68,NA,1992,1,JK,NA,A,CN,3,NA,BrM,NA,1992-08-07,14,1995,1771,16,1993-08-07,319,26.255726495726496,21.8,31.2,NA,1993,1,1,1
440,NA,15.75,67,NA,1992,0,JK,NA,A,CN,2,2,BrF,NA,1992-08-07,14,1994,1769,17,1994-07-08,332,26.255726495726496,21.8,31.2,NA,1994,1.9,1,1
441,25.099999999999998,14.983333333333334,66.4,35.7,1992,0,LG,NA,A,CN,15,8,BrF,NA,1992-08-07,14,2007,1491,17,1994-07-09,334,26.255726495726496,21.8,31.2,NA,1994,1.9,1,1
442,NA,14.366666666666667,66.5,NA,1992,0,JK,NA,A,CN,12,4,AB,NA,1992-08-08,14,2004,1762,16,1993-08-08,320,26.255726495726496,21.8,31.2,NA,1993,1,1,1
443,NA,15.4,66.33333333333333,NA,1992,0,AD,NA,A,CN,3,3,BrF,n,1992-08-08,14,1995,1759,19,1995-05-22,409,26.255726495726496,21.8,31.2,NA,1995,2.8,1,1
444,NA,15.2,66.5,NA,1992,0,LG,NA,A,CN,9,5,BrF,NA,1992-12-11,14,2001,1757,17,1994-07-09,334,NA,NA,NA,NA,1994,1.6,1,1
445,NA,15.7,67,NA,1992,1,JK,NA,SA,CN,1,NA,ABX,NA,1992-12-11,14,1993,1756,16,1993-08-08,320,NA,NA,NA,NA,1993,0.7,1,1
447,NA,15.2,65,NA,1992,0,JK,NA,A,CN,7,6,BrF,NA,1992-08-08,14,1999,1754,16,1993-08-08,320,26.255726495726496,21.8,31.2,NA,1993,1,1,1
448,NA,16.4,70,NA,1992,1,JK,NA,A,CN,4,4,BrM,NA,1992-08-08,14,1996,1753,16,1993-08-08,320,26.255726495726496,21.8,31.2,NA,1993,1,1,1
449,25.6,15.4,68,NA,1992,0,KO,10:50:00,A,CN,8,2,BrF,NA,1992-08-09,14,2000,1752,22,1997-07-06,677,26.566794871794873,21.8,32.8,NA,1997,4.9,1,1
450,23.4,14.766666666666667,64.66666666666667,35.400000000000006,1992,0,JK,NA,A,CN,8,5,AB,NA,1992-08-09,14,2000,1747,16,1993-08-09,321,26.566794871794873,21.8,32.8,NA,1993,1,1,1
452,NA,14.9,70,NA,1992,1,JK,NA,SA,CN,1,NA,ABX,NA,1992-12-13,14,1993,1745,16,1993-08-10,322,NA,NA,NA,NA,1993,0.7,1,1
